noise_category,snri,pesq_wb
crickets,12.651,2.944
siren,12.569,3.155
clock_alarm,12.147,3.311
glass_breaking,12.138,3.569
sheep,11.381,2.8
can_opening,11.286,3.349
door_wood_knock,11.245,3.219
rooster,11.193,3.549
wind,10.614,3.089
chirping_birds,10.509,2.937
church_bells,10.413,3.066
breathing,10.209,2.926
crying_baby,10.171,2.993
crow,10.1,2.715
brushing_teeth,9.914,2.306
cow,9.627,2.993
car_horn,9.511,2.879
engine,9.471,2.776
sea_waves,9.458,2.408
helicopter,9.337,2.804
cat,9.218,3.333
door_wood_creaks,8.981,2.361
mouse_click,8.857,2.989
sneezing,8.587,3.306
washing_machine,8.576,2.512
hen,8.494,2.718
pouring_water,8.105,2.618
clock_tick,8.002,2.567
crackling_fire,7.98,2.865
frog,7.955,2.915
snoring,7.742,2.612
keyboard_typing,7.696,2.792
thunderstorm,7.691,2.934
chainsaw,7.452,2.355
rain,7.394,2.758
toilet_flush,7.275,2.215
fireworks,7.227,2.849
clapping,7.104,2.433
vacuum_cleaner,6.77,2.774
dog,6.717,2.871
airplane,6.645,2.346
hand_saw,5.849,1.997
pig,5.652,2.477
drinking_sipping,5.642,2.951
footsteps,4.629,2.382
water_drops,4.628,3.22
train,4.62,3.032
insects,4.333,2.489
laughing,4.206,2.786
coughing,4.057,3.27
